ClipName,Frame,RootT.x,RootT.z,FootLeftT.x,FootLeftT.z,FootRightT.x,FootRightT.z,FootLeftV.x,FootLeftV.z,FootRightV.x,FootRightV.z,RootV.x,RootV.z,TrajPos.x,TrajPos.z,TrajForward.x,TrajForward.z
Turn45Left,68,-1.675427,13.98828,2.542393,-14.04556,2.65324,-14.37741,8.137226E-05,0.001567173,0.007315572,-0.002324899,0.007351502,0.0008659681,-1.675427,13.98828,0.06017971,0.9975362
Turn45Left,69,-1.673687,14.03552,2.74806,-14.11341,2.85774,-14.32031,5.800724E-05,0.001574802,0.006855575,-0.002261734,0.006816665,0.001903502,-1.673687,14.03552,0.07353457,0.9965982
Turn45Left,70,-1.672577,14.08238,2.82921,-14.18332,2.937004,-14.29099,3.701448E-05,0.001561832,0.002704978,-0.002330017,0.002642123,0.0009773573,-1.672577,14.08238,0.07895003,0.996223
Turn45Left,71,-1.672025,14.12824,2.884051,-14.24414,2.986705,-14.24828,1.839797E-05,0.001528803,0.001828059,-0.002027384,0.001656723,0.001423486,-1.672025,14.12824,0.08265485,0.9960716
Turn45Left,72,-1.67196,14.17318,2.916147,-14.30451,3.01307,-14.19681,2.153715E-06,0.001497809,0.001069872,-0.002012475,0.0008788347,0.001715851,-1.67196,14.17318,0.08489968,0.9960297
Turn45Left,73,-1.672311,14.21724,2.935981,-14.36901,3.022305,-14.10008,-1.171033E-05,0.001468849,0.0006611188,-0.002150091,0.0003078143,0.003224277,-1.672311,14.21724,0.08646153,0.9960989
Turn45Left,74,-1.673007,14.2605,2.987023,-14.41317,3.059373,-14.02006,-2.32021E-05,0.001441924,0.001701403,-0.001471774,0.00123562,0.002667268,-1.673007,14.2605,0.08979625,0.9959326
Turn45Left,75,-1.675931,14.30301,3.107392,-14.4396,3.150874,-13.89308,-9.745757E-05,0.001417001,0.004012307,-0.0008810043,0.003050033,0.004232725,-1.675931,14.30301,0.09737181,0.9952196
Turn45Left,76,-1.681822,14.34483,3.2078,-14.46735,3.219803,-13.84335,-0.0001963655,0.001394113,0.00334692,-0.0009250641,0.002297624,0.001657677,-1.681822,14.34483,0.1030526,0.9945717
Turn45Left,77,-1.688892,14.38603,3.283226,-14.4904,3.263131,-13.82688,-0.0002356768,0.001373291,0.002514211,-0.0007683118,0.001444252,0.0005490621,-1.688892,14.38603,0.1068886,0.9941208
Turn45Left,78,-1.695354,14.42667,3.240882,-14.57134,3.203531,-13.87245,-0.0002153993,0.00135444,-0.00141147,-0.002698135,-0.001986647,-0.001519235,-1.695354,14.42667,0.1030941,0.9945806
Turn45Left,79,-1.69942,14.4668,3.121498,-14.72087,3.082108,-14.01689,-0.0001355171,0.001337655,-0.003979468,-0.004984315,-0.004047458,-0.00481472,-1.69942,14.4668,0.09431981,0.9955266
Turn45Left,80,-1.699301,14.50648,3.063712,-14.83554,3.030572,-14.15999,3.949801E-06,0.001322873,-0.001926215,-0.003822231,-0.001717846,-0.004769898,-1.699301,14.50648,0.09008357,0.9956065
Turn45Left,81,-1.697219,14.54579,2.959538,-14.97545,2.944421,-14.35779,6.943147E-05,0.001310158,-0.003472447,-0.004663785,-0.00287172,-0.006593196,-1.697219,14.54579,0.08299641,0.9948264
Turn45Left,82,-1.696522,14.58477,2.974737,-15.03786,2.968039,-14.48781,2.322197E-05,0.001299445,0.0005066315,-0.00208025,0.000787282,-0.0043341,-1.696522,14.58477,0.08343875,0.9927298
Turn45Left,83,-1.697117,14.62349,2.944566,-15.06056,2.944414,-14.59387,-1.983245E-05,0.001290735,-0.001005713,-0.0007567088,-0.0007874886,-0.003535398,-1.697117,14.62349,0.08167168,0.9919887
