ClipName,Frame,RootT.x,RootT.y,RootT.z,FootLeftT.x,FootLeftT.y,FootLeftT.z,FootRightT.x,FootRightT.y,FootRightT.z,FootLeftV.x,FootLeftV.y,FootLeftV.z,FootRightV.x,FootRightV.y,FootRightV.z,rootV.x,rootV.x,rootV.x,RootQ.x,RootQ.y,RootQ.z,RootQ.w
Turn45Left,22,-0.8374803,93.74664,2.760205,-7.475825,-85.69868,-11.76809,6.095974,-85.81802,-13.67899,-0.001192339,-3.433228E-05,0.001432117,0.001460123,0.0002128601,-0.001045863,0.001353852,2.772013E-05,-0.0009541512,0,0,0,1
Turn45Left,23,-325.7213,92.96692,1221.521,-7.778527,-83.02507,-22.83809,5.515038,-83.39095,-23.65925,-10.82946,-0.02599055,40.62536,-0.01009007,0.08912048,-0.3689999,-0.01936453,0.08090261,-0.3326752,0,0,0,1
Turn45Left,24,-325.6891,92.96312,1221.538,-7.805439,-83.01769,-22.76867,5.463723,-83.38025,-23.58257,0.001074219,-0.000126648,0.0005777995,-0.0008970738,0.0002459208,0.002313741,-0.001710494,0.000356547,0.002555847,0,0,0,1
Turn45Left,25,-325.6531,92.95895,1221.557,-7.790127,-83.01004,-22.68723,5.454696,-83.36953,-23.49,0.001200358,-0.000138855,0.0006388346,0.0005104065,0.0002550761,0.002714666,-0.0003009001,0.00035731,0.003085772,0,0,0,1
Turn45Left,26,-325.6132,92.95438,1221.579,-7.753475,-83.00221,-22.59868,5.459446,-83.3588,-23.38988,0.001331584,-0.0001523336,0.0007039388,0.001221752,0.0002609253,0.002951813,0.0001583258,0.0003578186,0.003337415,0,0,0,1
Turn45Left,27,-325.5692,92.94938,1221.602,-7.742418,-82.99434,-22.50792,5.449452,-83.34806,-23.29055,0.001465861,-0.0001668294,0.000773112,0.0003685475,0.0002624512,0.003025373,-0.0003331343,0.0003578186,0.003310776,0,0,0,1
Turn45Left,28,-325.521,92.94389,1221.627,-7.768447,-82.98651,-22.41986,5.396193,-83.33733,-23.20037,0.001605225,-0.0001831055,0.0008382162,-0.0008676211,0.0002609253,0.002935219,-0.001775297,0.0003578186,0.003005981,0,0,0,1
Turn45Left,29,-325.4685,92.93787,1221.654,-7.807349,-82.97884,-22.33942,5.315281,-83.32661,-23.12769,0.001750692,-0.0002006531,0.0009114583,-0.001296727,0.000255839,0.002681287,-0.002697055,0.0003570557,0.002422969,0,0,0,1
Turn45Left,30,-325.4115,92.93128,1221.684,-7.829825,-82.97144,-22.27151,5.248436,-83.31592,-23.08084,0.001899211,-0.0002194722,0.0009887696,-0.0007492224,0.0002466837,0.002263705,-0.002228181,0.000356547,0.001561673,0,0,0,1
Turn45Left,31,-325.3499,92.9295,1221.716,-7.839763,-82.96441,-22.21611,5.206262,-83.30526,-23.06817,0.002053833,-5.925497E-05,0.001062012,-0.0003312429,0.0002342224,0.001846759,-0.001405795,0.0003552755,0.0004220963,0,0,0,1
Turn45Left,32,-325.2836,92.93672,1221.75,-7.841046,-82.95787,-22.16895,5.175838,-83.29465,-23.0781,0.002211507,0.0002405802,0.001143392,-4.277229E-05,0.0002179464,0.00157191,-0.001014153,0.0003537496,-0.0003308614,0,0,0,1
Turn45Left,33,-325.2123,92.9511,1221.787,-7.837561,-82.95192,-22.12858,5.140132,-83.28408,-23.09306,0.002376302,0.000479126,0.001224772,0.0001161575,0.0001983643,0.001345889,-0.00119017,0.0003522237,-0.0004987717,0,0,0,1
Turn45Left,34,-325.136,92.9708,1221.826,-7.833194,-82.94667,-22.09352,5.103601,-83.27358,-23.11247,0.002543132,0.0006568909,0.001310221,0.0001455784,0.0001749674,0.001168505,-0.001217699,0.0003499349,-0.0006469727,0,0,0,1
Turn45Left,35,-325.0545,92.99402,1221.868,-7.831777,-82.94224,-22.06233,5.0707,-83.26315,-23.13574,0.002717082,0.0007738749,0.00139974,4.722277E-05,0.0001477559,0.001039823,-0.00109671,0.0003476461,-0.0007757823,0,0,0,1
Turn45Left,36,-324.9677,93.01891,1221.913,-7.831246,-82.93872,-22.03353,5.045885,-83.25281,-23.16229,0.002894084,0.0008295695,0.001489258,1.769066E-05,0.0001172384,0.0009597779,-0.0008271853,0.0003448486,-0.0008850098,0,0,0,1
Turn45Left,37,-324.8753,93.04365,1221.96,-7.82664,-82.93623,-22.00568,5.019956,-83.24255,-23.19153,0.003077189,0.0008247375,0.001578776,0.0001535575,8.31604E-05,0.0009284973,-0.0008642832,0.0003417969,-0.0009746552,0,0,0,1
Turn45Left,38,-324.7719,93.06641,1222.01,-7.812995,-82.93488,-21.9773,4.990404,-83.23239,-23.22288,0.003447469,0.0007588704,0.001676432,0.0004548232,4.501343E-05,0.0009458542,-0.000985082,0.0003387451,-0.001044846,0,0,0,1
Turn45Left,39,-324.6534,93.08537,1222.064,-7.78535,-82.93476,-21.94694,4.971727,-83.22234,-23.25574,0.003949992,0.0006319682,0.001774089,0.0009214878,3.814697E-06,0.001011976,-0.0006225586,0.0003349304,-0.001095517,0,0,0,1
Turn45Left,40,-324.5223,93.0987,1222.12,-7.738745,-82.93601,-21.91314,4.978426,-83.20939,-23.28954,0.004371135,0.0004442851,0.001875814,0.00155352,-4.170736E-05,0.001126734,0.0002232869,0.0004318237,-0.001126607,0,0,0,1
Turn45Left,41,-324.3809,93.10457,1222.179,-7.646491,-82.93871,-21.87444,5.024998,-83.18979,-23.32369,0.004711914,0.0001955668,0.001977539,0.003075123,-9.002686E-05,0.001290131,0.001552423,0.0006533305,-0.001138179,0,0,0,1
